Algoritmo,Implementacion,N,Tiempo_ms,Correcto
ScanHillis,Serial,1000000,1.0587,SI
ScanHillis,SIMD,1000000,11.3827,SI
ScanHillis,OpenMP,1000000,15.1208,SI
ScanHillis,OpenMP+SIMD,1000000,8.5054,SI
ScanHillis,Serial,10000000,11.2893,SI
ScanHillis,SIMD,10000000,186.64,SI
ScanHillis,OpenMP,10000000,185.997,SI
ScanHillis,OpenMP+SIMD,10000000,171.619,SI
ScanHillis,Serial,50000000,87.8742,SI
ScanHillis,SIMD,50000000,1058.03,SI
ScanHillis,OpenMP,50000000,1064.71,SI
ScanHillis,OpenMP+SIMD,50000000,965.374,SI
Histograma,Serial,10000000,23.7858,SI
Histograma,SIMD,10000000,38.8735,SI
Histograma,OpenMP,10000000,6.6674,SI
Histograma,OpenMP+SIMD,10000000,8.8445,SI
Histograma,Serial,50000000,108.609,SI
Histograma,SIMD,50000000,190.131,SI
Histograma,OpenMP,50000000,28.9795,SI
Histograma,OpenMP+SIMD,50000000,34.6731,SI
Histograma,Serial,100000000,235.819,SI
Histograma,SIMD,100000000,399.601,SI
Histograma,OpenMP,100000000,55.7519,SI
Histograma,OpenMP+SIMD,100000000,77.9688,SI
ScanHillis,Serial,1000000,1.0519,SI
ScanHillis,SIMD,1000000,11.9656,SI
ScanHillis,OpenMP,1000000,14.2169,SI
ScanHillis,OpenMP+SIMD,1000000,8.5693,SI
ScanHillis,Serial,10000000,12.2332,SI
ScanHillis,SIMD,10000000,184.994,SI
ScanHillis,OpenMP,10000000,180.506,SI
ScanHillis,OpenMP+SIMD,10000000,177.632,SI
ScanHillis,Serial,50000000,65.9319,SI
ScanHillis,SIMD,50000000,1163.6,SI
ScanHillis,OpenMP,50000000,994.511,SI
ScanHillis,OpenMP+SIMD,50000000,942.441,SI
ScanBlelloch,Serial,1000000,1.8049,SI
ScanBlelloch,SIMD,1000000,2.9871,SI
ScanBlelloch,OpenMP,1000000,1.2618,SI
ScanBlelloch,OpenMP+SIMD,1000000,0.9811,SI
ScanBlelloch,Serial,10000000,17.9337,SI
ScanBlelloch,SIMD,10000000,28.4525,SI
ScanBlelloch,OpenMP,10000000,11.6724,SI
ScanBlelloch,OpenMP+SIMD,10000000,12.2381,SI
ScanBlelloch,Serial,50000000,92.3105,SI
ScanBlelloch,SIMD,50000000,142.086,SI
ScanBlelloch,OpenMP,50000000,56.3898,SI
ScanBlelloch,OpenMP+SIMD,50000000,73.9098,SI
ScanBlelloch,Serial,1000000,21.2087,SI
ScanBlelloch,SIMD,1000000,7.8345,NO
ScanBlelloch,OpenMP,1000000,2.5547,NO
ScanBlelloch,OpenMP+SIMD,1000000,2.0832,NO
ScanBlelloch,Serial,10000000,183.063,SI
ScanBlelloch,SIMD,10000000,64.1643,NO
ScanBlelloch,OpenMP,10000000,12.9788,NO
ScanBlelloch,OpenMP+SIMD,10000000,17.87,NO
ScanBlelloch,Serial,50000000,1062.21,SI
ScanBlelloch,SIMD,50000000,322.324,NO
ScanBlelloch,OpenMP,50000000,61.7049,NO
ScanBlelloch,OpenMP+SIMD,50000000,66.1164,NO
ScanBlelloch,Serial,1000000,22.6011,SI
ScanBlelloch,SIMD,1000000,20.298,SI
ScanBlelloch,OpenMP,1000000,13.6522,SI
ScanBlelloch,OpenMP+SIMD,1000000,11.5733,SI
ScanBlelloch,Serial,10000000,344.961,SI
ScanBlelloch,SIMD,10000000,332.983,SI
ScanBlelloch,OpenMP,10000000,166.857,SI
ScanBlelloch,OpenMP+SIMD,10000000,159.502,SI
ScanBlelloch,Serial,50000000,1605.37,SI
ScanBlelloch,SIMD,50000000,1454.45,SI
ScanBlelloch,OpenMP,50000000,735.954,SI
ScanBlelloch,OpenMP+SIMD,50000000,715.718,SI
